PYTHON vs FORTRAN COMPARISON (First 365 days)
================================================================================

Timestep-by-timestep comparison for key variables:
------------------------------------------------------------------------------------------------------------------------
Step   Time     F_Ts       P_Ts       Diff_Ts    F_Tb       P_Tb       Diff_Tb    F_h_ML     P_h_ML     Diff_h_ML  
83     83.00    0.00000    0.00000    0.00000    0.87289    0.80948    -0.06341   2.03158    1.65492    -0.37666   
84     84.00    0.00000    0.00000    0.00000    0.88015    0.81624    -0.06391   2.03158    1.65492    -0.37666   
85     85.00    0.00000    0.00000    0.00000    0.88740    0.82298    -0.06442   2.03158    1.65492    -0.37666   
86     86.00    0.00000    0.00000    0.00000    0.89463    0.82970    -0.06493   2.03158    1.65492    -0.37666   
87     87.00    0.00000    0.00000    0.00000    0.90184    0.83641    -0.06543   2.03158    1.65492    -0.37666   
88     88.00    0.00000    0.00000    0.00000    0.90904    0.84311    -0.06593   2.03158    1.65492    -0.37666   
89     89.00    0.00000    0.00000    0.00000    0.91622    0.84979    -0.06642   2.03158    1.65492    -0.37666   
90     90.00    0.00000    0.00000    0.00000    0.92338    0.85646    -0.06692   2.03158    1.65492    -0.37666   
91     91.00    0.00000    0.00000    0.00000    0.92338    0.86311    -0.06027   0.01053    1.65492    1.64439    
92     92.00    0.00000    0.00000    0.00000    1.62116    0.86311    -0.75805   0.01053    0.01601    0.00548    
93     93.00    0.00000    0.45753    0.45753    1.61965    0.45753    -1.16212   0.01570    5.90000    5.88430    
94     94.00    0.96262    0.57378    -0.38884   0.96262    0.57378    -0.38884   5.90000    5.90000    0.00000    
95     95.00    1.05116    0.92381    -0.12735   1.05116    0.92381    -0.12735   5.90000    5.90000    0.00000    
96     96.00    1.36722    1.37005    0.00283    1.36722    1.37005    0.00283    5.90000    5.90000    0.00000    
97     97.00    1.80555    1.79101    -0.01454   1.80555    1.79101    -0.01454   5.90000    5.90000    0.00000    
98     98.00    2.22620    2.09947    -0.12673   2.22620    2.09947    -0.12673   5.90000    5.90000    0.00000    
99     99.00    2.61493    2.24639    -0.36854   2.61493    2.24639    -0.36854   5.90000    5.90000    0.00000    
100    100.00   2.74363    2.41742    -0.32621   2.74363    2.41742    -0.32621   5.90000    5.90000    0.00000    
101    101.00   2.90938    2.64547    -0.26391   2.90938    2.64547    -0.26391   5.90000    5.90000    0.00000    
102    102.00   3.14839    2.95779    -0.19060   3.14839    2.95779    -0.19060   5.90000    5.90000    0.00000    
103    103.00   3.46110    3.43102    -0.03008   3.46110    3.43102    -0.03008   5.90000    5.90000    0.00000    
104    104.00   3.92602    3.97098    0.04496    3.92602    3.97098    0.04496    5.90000    5.90000    0.00000    
105    105.00   4.45728    4.51807    0.06079    4.45728    4.51807    0.06079    5.90000    5.90000    0.00000    
106    106.00   5.00433    5.20100    0.19667    4.45728    4.51807    0.06079    5.71996    4.45633    -1.26363   
107    107.00   5.62776    5.93988    0.31212    4.45728    4.51807    0.06079    5.55471    3.79878    -1.75593   
108    108.00   6.22568    5.79508    -0.43060   4.45728    5.79508    1.33780    5.46147    5.90000    0.43853    
109    109.00   6.26592    5.82173    -0.44419   6.26592    5.82173    -0.44419   5.90000    5.90000    0.00000    
110    110.00   6.24957    5.81306    -0.43651   6.24957    5.81306    -0.43651   5.90000    5.90000    0.00000    
111    111.00   6.21650    6.16506    -0.05144   6.21650    6.16506    -0.05144   5.90000    5.90000    0.00000    
112    112.00   6.55533    6.20218    -0.35315   6.55533    6.20218    -0.35315   5.90000    5.90000    0.00000    
113    113.00   6.57074    5.97031    -0.60043   6.57074    5.97031    -0.60043   5.90000    5.90000    0.00000    
114    114.00   6.32575    5.77372    -0.55203   6.32575    5.77372    -0.55203   5.90000    5.90000    0.00000    
115    115.00   6.12594    5.68943    -0.43651   6.12594    5.68943    -0.43651   5.90000    5.90000    0.00000    
116    116.00   6.03792    5.97547    -0.06245   6.03792    5.68943    -0.34849   5.90000    4.96916    -0.93084   
117    117.00   6.30663    6.02589    -0.28074   6.30663    5.68943    -0.61720   5.90000    4.06554    -1.83446   
118    118.00   6.33645    6.02894    -0.30751   6.33645    5.69102    -0.64543   5.90000    5.84292    -0.05708   
119    119.00   6.39063    6.49140    0.10077    6.39063    5.69102    -0.69961   5.90000    5.13012    -0.76988   
120    120.00   6.79739    7.16739    0.37000    6.39063    5.69102    -0.69961   5.82638    4.15259    -1.67379   
121    121.00   7.30337    8.02996    0.72659    6.39063    5.69102    -0.69961   5.70081    3.12961    -2.57120   
122    122.00   7.84634    7.99983    0.15349    6.39063    5.69752    -0.69311   5.51993    3.34588    -2.17405   
123    123.00   7.85619    8.15043    0.29424    6.37564    5.72182    -0.65382   5.72198    4.06630    -1.65568   
124    124.00   8.19333    8.24534    0.05201    6.37564    5.74645    -0.62919   5.37306    4.06631    -1.30675   
125    125.00   8.24055    9.68859    1.44804    6.37828    5.74645    -0.63183   5.59654    1.89553    -3.70101   
126    126.00   8.75699    9.76664    1.00965    6.37828    5.75043    -0.62785   4.77104    2.96902    -1.80202   
127    127.00   9.88822    10.67934   0.79112    6.37828    5.75043    -0.62785   3.18495    2.47181    -0.71314   
128    128.00   10.43910   11.58866   1.14956    6.37828    5.75043    -0.62785   3.14285    2.15741    -0.98544   
129    129.00   11.01910   11.40266   0.38356    6.37828    5.74809    -0.63019   3.10860    2.86290    -0.24570   
130    130.00   11.46460   13.17536   1.71076    6.46037    5.74809    -0.71228   3.10861    1.79697    -1.31164   
131    131.00   12.02670   14.61145   2.58475    6.55083    5.74809    -0.80274   3.10862    1.36757    -1.74105   
132    132.00   12.81300   13.99320   1.18020    6.55083    5.70396    -0.84687   2.98794    1.74805    -1.23989   
133    133.00   12.88110   13.79303   0.91193    6.53176    5.69832    -0.83344   3.15306    1.91887    -1.23419   
134    134.00   12.92970   13.31280   0.38310    6.51885    5.68702    -0.83183   3.31991    2.19680    -1.12311   
135    135.00   12.75090   13.84455   1.09365    6.47819    5.68702    -0.79117   3.59108    2.10750    -1.48358   
136    136.00   13.11890   14.94160   1.82270    6.52592    5.68702    -0.83890   3.59109    1.75281    -1.83828   
137    137.00   13.59240   15.26212   1.66972    6.58446    5.70447    -0.87999   3.59109    1.75282    -1.83827   
138    138.00   13.92610   15.52606   1.59996    6.62655    5.71798    -0.90857   3.59110    1.75283    -1.83827   
139    139.00   14.26080   16.79651   2.53571    6.67204    5.71798    -0.95406   3.59111    1.40144    -2.18967   
140    140.00   15.07420   17.23618   2.16198    6.67204    5.72975    -0.94229   3.28088    1.40145    -1.87943   
141    141.00   15.55180   15.77236   0.22056    6.72181    5.67268    -1.04913   3.28089    1.94570    -1.33519   
142    142.00   15.22120   14.49186   -0.72934   6.67923    5.63971    -1.03952   3.50758    2.42497    -1.08261   
