time,stratification,thermocline_depth,stability,surface_temp,bottom_temp,mixed_layer_depth
1466,-3.980000000000018,5.780808080808081,0.0004299905586984254,0.0,3.980000000000018,5.45928655548043
1497,-3.980000000000018,5.780808080808081,0.0005214282628330815,0.0,3.980000000000018,5.371695147257082
1528,-3.980000000000018,5.780808080808081,0.0005935737676967384,0.0,3.980000000000018,5.301551788197703
1560,0.0,0.1191919191919192,0.0,2.389774854695929,2.389774854695929,5.9
1591,8.414481931731872,5.9,-0.004223447859317218,12.39448193173189,3.980000000000018,2.310258639837658
1622,9.515776029801824,5.9,-0.004186616503565589,13.58957479896372,4.073798769161897,3.265433053569172
1653,17.920167802488432,5.9,-0.010811885587214442,22.6383422137726,4.718174411284167,1.443701500234158
1684,13.638743987223055,5.9,-0.007884851401482169,18.56584208365388,4.927098096430825,2.021274456524781
1716,7.46619567427428,5.9,-0.0033089791219895557,12.54400472020581,5.077809045931531,3.464900068655546
1747,5.254946794298684,5.9,-0.0024107944137762697,10.47154883769286,5.216602043394175,3.341293015831113
1778,0.0,0.1787878787878788,0.0,4.797075640734363,4.797075640734363,5.9
1809,-1.6910487423236873,5.780808080808081,0.0005484886553642415,0.4312814388023867,2.122330181126074,4.549733613158588
1840,-0.3012799501510699,4.827272727272727,0.00017485611180643806,0.0,0.3012799501510699,0.0
1872,-0.4695928112084857,3.8737373737373737,0.0002725411135357591,0.0,0.4695928112084857,0.0
1903,-0.6218677012786884,5.423232323232323,0.00036091803735719926,0.0,0.6218677012786884,0.0
1934,0.0,0.1787878787878788,0.0,2.273616890641222,2.273616890641222,5.9
1965,8.423690453062026,5.9,-0.0047346176683389475,15.48933618243797,7.065645729375944,0.8386871094821899
1996,13.220823453593649,5.9,-0.0072605833336819164,19.04145895670825,5.820635503114602,1.984449410296689
2028,14.198872678396587,5.9,-0.0075907269092925535,20.0138310696363,5.814958391239713,2.337934690282859
2059,12.371784874434642,5.9,-0.006878253133527124,18.64925323451047,6.277468360075829,2.223589765266523
2090,8.49988466762494,5.9,-0.004757208399985004,15.22352899365086,6.723644326025919,2.301002771492663
2121,1.8270360560753147,5.9,-0.0003914450552989986,8.717262914160642,6.890226858085327,4.865299473603446
2152,0.0,0.1191919191919192,0.0,1.322945865745794,1.322945865745794,5.9
2184,-0.2413564127003267,5.9,8.451099292196581e-05,0.9807641740800364,1.222120586780363,3.618290214001136
2215,0.0,0.1787878787878788,0.0,0.2964829997890206,0.2964829997890206,5.9
